id,slug,nombre,descripcion,precio,categoria,foto_1,foto_2,talle,stock,en_stock,destacado
DYNE_AUDIO_GO4,jbl-go4-rgb,JBL GO4 RGB,Bluetooth 5.0 | Autonomía 7H | IP67 | RGB activo,25500,audio,/images/products/go4rgb-1.png,/images/products/go4rgb-2.png,U,10,TRUE,TRUE
DYNE_AUDIO_APP2,airpods-pro-2da-gen,AirPods Pro 2da Gen,Carga inalámbrica | ANC activo | Autonomía 6H | Estuche con carga,24600,audio,/images/products/airpodspro2-1.png,/images/products/airpodspro2-2.png,U,10,TRUE,TRUE
DYNE_AUDIO_JBL770,jbl-tune-770bt,JBL Tune 770BT,Wireless / Pure Bass Sound | Autonomía 40H | Llamadas manos libres | Cable de audio desmontable | Conexión multipunto | Carga USB-C,32100,audio,/images/products/jbltune770-2.png,/images/products/jbltune770-1.png,U,10,TRUE,TRUE
DYNE_AUDIO_FLIP7,jbl-flip-7,JBL Flip 7,Bluetooth 5.4 / Auracast | Autonomía hasta 16H (Playtime Boost) | IP68 -- sumergible | 35W potencia total,52400,audio,/images/products/jblflip7-2.png,/images/products/jblflip7-1.png,U,10,TRUE,TRUE
DYNE_ENERGIA_BP01,battery-pack-magsafe,Battery Pack MagSafe,5000mAh | MagSafe inalámbrica | Ultracompacto | Alineación magnética,18800,energia,/images/products/batterypack-1.png,/images/products/batterypack-2.png,U,10,TRUE,FALSE
DYNE_ENERGIA_MGC01,magnetic-charger-magsafe,Magnetic Charger MagSafe,15W máx | MagSafe | USB-C | Compatible iPhone,15400,energia,/images/products/magneticcharger-1.png,/images/products/magneticcharger-2.png,U,10,TRUE,FALSE
DYNE_ENERGIA_SAM45,adaptador-samsung-45w,Adaptador Samsung 45W,Carga rápida | Compatible Samsung A45 45W,7700,energia,/images/products/samsung45w-1.png,/images/products/samsung45w-2.png,U,10,TRUE,FALSE
DYNE_GAMING_NOGAGM,combo-noga-gamer-nkb-407,Combo Noga Gamer (NKB-407),Teclado retroiluminado USB 105 teclas (efecto arcoíris) | Mouse retroiluminado | Auricular 40mm 32 Ohm con mic | Mousepad 250x210mm,63200,gaming,/images/products/nogagamer-1.png,/images/products/nogagamer-2.png,U,10,TRUE,FALSE
DYNE_SISTEMAS_NOGA01,combo-noga,Combo Noga,Teclado 104 teclas | Conectividad 2.4G -- 10 metros de alcance | USB 2.0 | Mouse 1000 DPI | Compatible Windows / Android / iOS,21800,sistemas,/images/products/nogas5900-1.png,,U,10,TRUE,FALSE
DYNE_CINEMA_PROY01,proyector-nurik-hy300-pro,Proyector NURIK HY300 PRO+,Voltaje 220V | 8000 lúmenes | Resolución nativa 1920x1080 | Proyección de 40" a 200" | Wi-Fi integrado | Bluetooth 5.0 | 50.000H de vida útil,77100,cinema,/images/products/proyector-1.png,/images/products/proyector-2.png,U,10,TRUE,FALSE
DYNE_DRONES_DRN01,drone-generico,Drone Genérico HD,Cámara HD | Wi-Fi 2.4 GHz | 2 baterías recargables incluidas,53400,drones,/images/products/drone-1.png,/images/products/drone-2.png,U,10,TRUE,FALSE
